epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1130.02,1.11231,0.75668,1.20219,0.82477,0.58946,0.64454,0.3503,1.74166,1.32004,1.76739,0.006568,0.006568,0.006568
106,1142.55,1.09725,0.75545,1.19964,0.82778,0.60934,0.64212,0.35669,1.74616,1.24835,1.78135,0.006535,0.006535,0.006535
107,1154.75,1.09942,0.73686,1.18929,0.82055,0.5803,0.64462,0.34694,1.7648,1.22812,1.79329,0.006502,0.006502,0.006502
108,1166.71,1.08757,0.74828,1.19805,0.77376,0.6017,0.63957,0.34798,1.78237,1.24372,1.75083,0.006469,0.006469,0.006469
109,1178.04,1.06413,0.71579,1.17399,0.77422,0.58648,0.63569,0.34554,1.76907,1.30514,1.80018,0.006436,0.006436,0.006436
110,1188.8,1.07862,0.7365,1.17407,0.80352,0.61155,0.65495,0.36239,1.74379,1.2271,1.75697,0.006403,0.006403,0.006403
111,1199.64,1.0983,0.74497,1.19304,0.80531,0.59776,0.66002,0.37597,1.72421,1.20687,1.75169,0.00637,0.00637,0.00637
112,1210.55,1.09334,0.73334,1.19915,0.77952,0.5988,0.63746,0.35125,1.76973,1.23459,1.80643,0.006337,0.006337,0.006337
113,1221.65,1.08034,0.72097,1.17777,0.78573,0.63119,0.66492,0.35861,1.75271,1.27268,1.78061,0.006304,0.006304,0.006304
114,1232.37,1.0755,0.73322,1.18424,0.80147,0.61844,0.65149,0.35734,1.76794,1.23673,1.80918,0.006271,0.006271,0.006271
115,1245.76,1.05701,0.72708,1.17985,0.7823,0.60317,0.63815,0.35852,1.76555,1.30416,1.79941,0.006238,0.006238,0.006238
116,1256.42,1.07749,0.72961,1.17006,0.79561,0.57822,0.64164,0.36862,1.70034,1.23779,1.71583,0.006205,0.006205,0.006205
117,1267.11,1.04403,0.68285,1.16185,0.77146,0.58955,0.61635,0.34862,1.78059,1.31381,1.82646,0.006172,0.006172,0.006172
118,1277.83,1.07336,0.72104,1.18095,0.77741,0.61421,0.66229,0.35575,1.74785,1.31113,1.76256,0.006139,0.006139,0.006139
