epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1218.17,1.25769,0.99978,1.37895,0.79137,0.59743,0.6741,0.37973,1.64179,1.3147,1.6826,0.005314,0.005314,0.005314
73,1234.1,1.21204,0.93348,1.33806,0.8481,0.59073,0.67112,0.37627,1.6587,1.29933,1.7138,0.005248,0.005248,0.005248
74,1249.86,1.21472,0.94699,1.3441,0.82161,0.61606,0.67927,0.3909,1.63043,1.30108,1.66214,0.005182,0.005182,0.005182
75,1265.86,1.21678,0.97107,1.34347,0.7761,0.61186,0.66719,0.38075,1.67411,1.27008,1.69983,0.005116,0.005116,0.005116
76,1281.6,1.21183,0.93781,1.32577,0.82713,0.58465,0.66417,0.37028,1.66775,1.26653,1.72885,0.00505,0.00505,0.00505
77,1297.55,1.21875,0.95147,1.35248,0.82723,0.60134,0.6535,0.37569,1.65063,1.25559,1.69835,0.004984,0.004984,0.004984
78,1313.65,1.20502,0.94382,1.33098,0.79647,0.60101,0.65248,0.3705,1.6898,1.28017,1.72697,0.004918,0.004918,0.004918
79,1329.57,1.1928,0.9142,1.32992,0.76188,0.60447,0.65876,0.37516,1.68799,1.2757,1.73654,0.004852,0.004852,0.004852
80,1345.63,1.22017,0.94345,1.34085,0.79833,0.57459,0.65321,0.36933,1.69887,1.30568,1.7266,0.004786,0.004786,0.004786
81,1361.49,1.20004,0.93189,1.33344,0.82369,0.59471,0.66585,0.38581,1.6393,1.24895,1.70592,0.00472,0.00472,0.00472
82,1377.48,1.17509,0.89305,1.30706,0.81024,0.57128,0.65479,0.37258,1.72429,1.26392,1.75041,0.004654,0.004654,0.004654
83,1393.57,1.16271,0.88756,1.29411,0.81356,0.57597,0.64291,0.36564,1.70062,1.36485,1.71915,0.004588,0.004588,0.004588
84,1409.82,1.17083,0.86774,1.31019,0.75586,0.59663,0.63612,0.36986,1.67829,1.36778,1.70197,0.004522,0.004522,0.004522
85,1425.84,1.15469,0.88457,1.29131,0.85915,0.57807,0.64696,0.37947,1.69456,1.4085,1.74493,0.004456,0.004456,0.004456
86,1441.84,1.15913,0.89377,1.30392,0.74415,0.61448,0.66448,0.38341,1.69249,1.3222,1.74199,0.00439,0.00439,0.00439
87,1457.64,1.15476,0.854,1.30518,0.82816,0.56356,0.63589,0.35914,1.74822,1.38968,1.78077,0.004324,0.004324,0.004324
88,1473.49,1.1575,0.87141,1.30842,0.78617,0.59945,0.6331,0.35685,1.72317,1.33715,1.78351,0.004258,0.004258,0.004258
89,1490.09,1.1619,0.87525,1.30167,0.82713,0.58644,0.64292,0.35877,1.72429,1.34563,1.7701,0.004192,0.004192,0.004192
90,1506.07,1.13498,0.86642,1.2939,0.80364,0.6117,0.66184,0.36471,1.7092,1.30938,1.79296,0.004126,0.004126,0.004126
91,1521.97,1.14464,0.86327,1.29047,0.81784,0.58423,0.64258,0.35871,1.73524,1.36347,1.75154,0.00406,0.00406,0.00406
92,1537.82,1.13403,0.85081,1.27792,0.78124,0.60286,0.6495,0.37457,1.69938,1.32939,1.72992,0.003994,0.003994,0.003994
